,node,x,y
24,BOLLMAN_1_N003_4,"[-13576196.704649802, -13576119.894201158, -13576430.475580469, -13576359.231106363, -13576196.704649802]","[4590548.04246415, 4590508.445404974, 4590617.3376825, 4590617.3376825, 4590548.04246415]"
25,BOLLMAN_1_N003_5,"[-13576794.490315365, -13576479.45615642, -13576704.321527822, -13576639.75622316, -13576972.601500634, -13577288.748854486, -13576891.338272355, -13577088.373771058, -13576794.490315365]","[4590806.841263038, 4590794.113301826, 4590672.491351398, 4590289.250141502, 4590017.737288767, 4590048.8477749005, 4590540.971549605, 4590764.414786588, 4590806.841263038]"
26,BOLLMAN_1_N003_6,"[-13576568.511749055, -13576656.454146782, -13576359.231106363, -13576372.589445258, -13576568.511749055]","[4590601.781572658, 4590690.875973085, 4590688.047567608, 4590666.834551306, 4590601.781572658]"
27,BOLLMAN_1_N003_7,"[-13576100.969887724, -13576217.855353056, -13576333.627623482, -13576014.140684905, -13576100.969887724]","[4590531.072277356, 4590563.598493145, 4590658.349356985, 4590764.414786588, 4590531.072277356]"
28,BRE_LNODEXF1_1,"[-13648055.051884955, -13648186.64064474, -13647973.835072244, -13648055.051884955]","[6032530.207231564, 6032520.923112375, 6032891.215964067, 6032530.207231564]"
29,BRE_LNODEXF1_2,"[-13652722.604901131, -13652900.071588594, -13651299.512308395, -13650833.08364197, -13650953.308692029, -13650630.482168727, -13650292.070916714, -13650357.749416284, -13650894.309361907, -13650944.403132765, -13650962.214251291, -13651113.608758768, -13651116.948343493, -13651273.908825513, -13651340.700519988, -13651388.56790103, -13651528.830459429, -13651573.358255746, -13651838.298643833, -13651844.977813283, -13651901.750753585, -13652090.993887935, -13652151.106412962, -13652457.235012645, -13652463.91418209, -13652522.913512215, -13652667.628850246, -13652722.604901131]","[6033207.208072119, 6037020.992361249, 6036943.928820242, 6036397.7325551165, 6036148.572916986, 6036216.224823405, 6035524.880291464, 6034559.730436521, 6033858.620784287, 6034049.976834255, 6033731.6022975445, 6034040.079003628, 6033508.912053366, 6034180.299328064, 6033513.860663139, 6034046.677556119, 6033413.239488308, 6033985.641137809, 6033985.641137809, 6033353.857049541, 6033667.268970975, 6033693.662072662, 6033423.136601087, 6033322.516482437, 6032839.226335909, 6033322.516482437, 6032834.278112408, 6033207.208072119]"
30,BRE_LNODEXF1_3,"[-13652930.335394075, -13647845.66632144, -13648689.070249291, -13649289.08230467, -13650554.784914989, -13652319.198844062, -13652930.335394075]","[6038431.2075846195, 6036923.584407066, 6035378.038574834, 6035191.602687081, 6037066.043886155, 6037741.008289501, 6038431.2075846195]"
31,BRO_LNODEXF1_1,"[-13635466.325567136, -13635367.803797748, -13634709.568595473, -13633636.448704226, -13633145.52974983, -13630520.61615692, -13629581.079654627, -13629262.705910958, -13628656.014686134, -13627283.445364654, -13626145.760168746, -13625800.669747286, -13624730.889440764, -13623914.932515452, -13632183.518414352, -13632489.857949056, -13632580.95263684, -13635466.325567136]","[6121797.092103227, 6122113.778864893, 6120982.4779117815, 6119824.417702307, 6119674.464512146, 6115433.541560445, 6115022.220330462, 6114542.648016916, 6114204.632255037, 6114088.078184554, 6113606.893147003, 6113007.530854981, 6112846.043177533, 6112437.281653823, 6102680.790933019, 6102961.128277524, 6103099.0454030335, 6121797.092103227]"
32,BRO_LNODEXF1_2,"[-13633866.444731137, -13632288.110369975, -13632173.710595202, -13631004.855941873, -13630287.958421163, -13629489.797672177, -13628491.261839762, -13627851.1747677, -13627438.179456858, -13626711.263181979, -13625068.187497867, -13623766.862650493, -13622309.69051601, -13621637.320791617, -13620966.064262135, -13620710.029433312, -13621151.96781176, -13622248.464796074, -13624131.990580296, -13624745.360974567, -13625554.653672634, -13627238.917568337, -13628138.379053945, -13630668.671079677, -13631095.024729416, -13631872.034775153, -13633866.444731137]","[6126941.171531942, 6132019.001477523, 6131679.019595516, 6130452.783287863, 6128729.675808053, 6127970.817808909, 6127563.89747512, 6126228.200608763, 6125843.038326529, 6125661.301098026, 6123499.090595179, 6122190.693097875, 6119797.759165674, 6118016.823460663, 6117192.2872303445, 6116264.570554606, 6115986.441664455, 6116201.282948479, 6117492.109412445, 6119921.055592595, 6121079.128859146, 6122329.0237718895, 6124034.174384958, 6125006.078692074, 6125973.09118678, 6126883.5164930895, 6126941.171531942]"
33,BRO_LNODEXF1_3,"[-13622662.07963932, -13605406.483478412, -13616768.34620009, -13616799.375721743, -13617335.935667368, -13619194.971163616, -13619256.196883552, -13619660.286635129, -13619673.644974027, -13621159.760176115, -13621602.811749475, -13621372.38040353, -13621985.750797803, -13622025.825814487, -13621549.378393892, -13621452.530436901, -13621611.717308735, -13621546.03880917, -13621859.959773207, -13622190.57866086, -13621672.943028674, -13621001.68649919, -13620517.446714237, -13620134.50766591, -13620833.59406809, -13620845.839212079, -13621066.251803847, -13621220.98589605, -13621569.415902235, -13621824.33753615, -13621882.223671366, -13621643.999961067, -13622061.44805154, -13622196.1446354, -13622662.07963932]","[6141135.12860907, 6134316.583655581, 6120878.821806636, 6121294.0978050595, 6122377.356702404, 6123149.053857843, 6124217.544118468, 6124650.9790886035, 6125291.169306074, 6126831.823088149, 6127862.41501139, 6128799.727628369, 6129305.118452521, 6129607.032810848, 6130162.516313904, 6130642.963536638, 6131103.417420404, 6131967.66945585, 6132641.779860038, 6134369.012830824, 6135585.7948296545, 6136525.622773726, 6137844.560706825, 6138186.849973275, 6138327.109041866, 6138869.799712751, 6138971.662413486, 6138081.657180483, 6138961.643077692, 6138579.247196, 6139005.060284251, 6139394.155084462, 6139921.882742523, 6140620.002881884, 6141135.12860907]"
34,BRW_LNODEXF1_1,"[-13671295.152988903, -13679473.44007908, -13680066.357879326, -13680140.165983116, -13680358.35218507, -13680093.411796983, -13680617.726598619, -13680941.666316828, -13680759.102351926, -13680931.647562657, -13681380.26511055, -13681846.693776978, -13681847.806971885, -13682417.762764744, -13682907.568524238, -13682848.569194116, -13683087.906099321, -13682787.34347418, -13683514.259749059, -13684364.740658723, -13684521.701140739, -13685064.94025581, -13685126.165975748, -13685679.42384499, -13685918.760750195, -13685904.28921639, -13686240.474078588, -13685818.573208481, -13686215.983790612, -13685839.723911732, -13684939.149231212, -13684959.186739555, -13684754.358876495, -13684076.423177566, -13683110.169997482, -13683869.36892469, -13683385.12913974, -13683178.074886864, -13683568.806299547, -13683692.37093433, -13684757.698461222, -13684234.496854492, -13683861.576560335, -13683072.321370611, -13682651.533695413, -13682716.099000072, -13682496.799603209, -13683205.904759562, -13682968.794244172, -13683604.428536603, -13683381.789555017, -13682596.987144923, -13681976.937581206, -13681608.47006668, -13680978.40174879, -13680310.484804029, -13680142.392372932, -13680242.579914646, -13679874.11240012, -13679360.929547565, -13679254.062836403, -13679455.551114738, -13679329.76009014, -13679473.362233264, -13679216.214209532, -13679376.514276275, -13678110.811665952, -13678000.60537007, -13678219.904766934, -13678022.869268227, -13677577.591305055, -13677377.216221627, -13677445.121111011, -13677309.31133224, -13677439.555136472, -13677733.438592164, -13678226.58393638, -13678608.4097898, -13678523.806976797, -13677820.267794983, -13676889.636851953, -13676631.375633312, -13676556.79157448, -13675729.687757885, -13676508.92419344, -13676731.563175026, -13677541.969068002, -13678282.243681775, -13678097.453327058, -13677416.178043403, -13677403.932899415, -13676965.33410569, -13677051.050113602, -13676828.411132017, -13676968.673690416, -13676055.85386591, -13676269.587288234, -13676120.41917057, -13676191.663644679, -13675754.17804586, -13675865.497536654, -13676317.454669274, -13676065.872620082, -13676040.2691372, -13676233.965051182, -13676148.24904327, -13676664.77148055, -13677033.238995075, -13676277.37965259, -13674913.715890372, -13676152.701822901, -13675790.913477823, -13675226.523659501, -13675485.89807305, -13675145.260431223, -13674804.622789394, -13674020.933574209, -13673103.660970071, -13672433.517635498, -13673189.376977984, -13673420.921518834, -13673228.33879976, -13673643.56050042, -13673769.351525016, -13672648.36425273, -13672207.539069187, -13671756.695131471, -13671483.962379029, -13672021.635519562, -13672164.124467777, -13671473.943624858, -13670631.255079554, -13670045.714557981, -13670465.389038274, -13670996.383009356, -13670925.138535246, -13671093.230966346, -13670956.30799267, -13671295.152988903]","[6179385.824446292, 6180395.058216469, 6180488.878147955, 6181294.460091715, 6181425.3596502375, 6181735.834590868, 6182091.635997531, 6181839.88818244, 6181591.50429277, 6181371.657024055, 6181771.078407014, 6181700.590920424, 6181453.889308041, 6181494.16663454, 6181804.644081716, 6182118.489536718, 6182331.642505333, 6182700.896485263, 6183535.133698353, 6183812.111797353, 6183452.8813299425, 6183320.272040485, 6182969.454883795, 6183399.165926081, 6183864.15111151, 6184377.846555245, 6184649.815504774, 6185512.7868049955, 6186456.446910397, 6189864.232384163, 6191512.349670826, 6192789.397884507, 6193335.562501728, 6194002.771131318, 6194194.3721901225, 6193938.905069971, 6193675.042474305, 6193128.856079685, 6193022.98400214, 6192481.880609516, 6191749.261250662, 6191087.269529934, 6190969.662171327, 6191507.30907053, 6192243.268300127, 6192720.4996060915, 6193338.923623227, 6193740.5871964265, 6194597.756936502, 6197139.520503744, 6199026.161217189, 6198710.010428471, 6198794.091938527, 6198997.572630902, 6199914.136896315, 6200016.730967297, 6200216.877059857, 6201755.972805743, 6202420.477243164, 6202634.139065013, 6202161.398453446, 6201712.2350938395, 6201019.190593486, 6200487.670443909, 6200208.4674654165, 6199661.861654741, 6199397.821579644, 6199767.816345179, 6200319.474781325, 6201229.452983225, 6201175.625316563, 6200785.3849179875, 6200018.412847634, 6199675.316145476, 6199461.728616968, 6199559.2718624985, 6198968.984140667, 6198091.196072011, 6197729.681333808, 6197280.75184925, 6197630.477649102, 6197381.632816645, 6196860.427355721, 6196564.531362711, 6196265.2833778, 6195880.311275501, 6192310.482358641, 6191295.6065523075, 6190410.209406182, 6189828.955072772, 6189511.465845734, 6188997.460760366, 6188792.539277125, 6188575.865366464, 6188528.836098374, 6188065.275778682, 6187742.813913109, 6187608.45840518, 6187334.715615166, 6187237.31232714, 6186355.695295827, 6185966.13359668, 6185867.066867597, 6185482.564543242, 6185230.716530933, 6184908.361937698, 6184026.98585725, 6183800.361028463, 6183263.200323217, 6183733.214088515, 6181635.138776305, 6181279.356425866, 6181333.0584705, 6181255.861887743, 6181146.780951973, 6181744.22596245, 6182172.196868937, 6183563.670419811, 6183894.367633312, 6184570.910039064, 6184498.7205722025, 6185098.079570567, 6185005.7386021335, 6185306.270152952, 6186612.614267766, 6186804.049127465, 6185867.066867597, 6185722.666580055, 6184601.129067256, 6183248.093167924, 6182506.196938263, 6182549.836105134, 6181591.50429277, 6181030.98887069, 6180938.691961585, 6180534.275470991, 6180144.979796362, 6179861.409225706, 6179385.824446292]"
35,BRW_LNODEXF1_2,"[-13651239.593594829, -13650472.73945491, -13652206.43160497, -13655797.365933571, -13655970.47814208, -13656222.060191272, -13656567.150612732, -13656313.342173724, -13656515.943646967, -13656338.945656605, -13656010.553158768, -13656026.137887478, -13655264.712570451, -13654695.869972497, -13654614.606744217, -13654029.066222645, -13653829.804334126, -13654190.479484294, -13655118.884037513, -13655063.224292114, -13656261.02201305, -13656419.095689977, -13656269.927572316, -13656528.188790955, -13656472.529045558, -13656720.771510025, -13656721.884704936, -13656863.260458242, -13657069.201516211, -13657074.767490748, -13656432.454028873, -13656351.190800592, -13657516.705869198, -13658303.734669108, -13659222.12046815, -13659060.707206503, -13658112.265144944, -13657613.553826189, -13657182.747396821, -13656405.737351082, -13656311.115783907, -13655634.293279884, -13653060.586652745, -13653006.040102256, -13652928.116458697, -13652875.796298029, -13652856.871984592, -13652783.401120666, -13652677.647604417, -13651424.190138083, -13651239.593594829]","[6193056.5058365585, 6181776.7824895205, 6177030.663649523, 6177473.662385585, 6177666.992648583, 6179790.937529625, 6180183.572970198, 6180500.71479874, 6180740.6765106, 6181052.804649808, 6180923.588926152, 6180693.690468703, 6180836.327467633, 6181591.50429277, 6182390.386386528, 6182623.687511981, 6182961.062305751, 6185579.9477705015, 6186946.788445293, 6187912.440768534, 6188643.050485629, 6189099.923350879, 6189266.217719853, 6189288.054595337, 6189533.303350035, 6189402.279164125, 6189666.009387893, 6189373.722878294, 6189640.811879914, 6189099.923350879, 6188896.67908692, 6188700.158253588, 6189123.439529178, 6188829.491967106, 6189002.4998753285, 6190225.413264672, 6190420.289311028, 6191564.436048631, 6191940.811602498, 6191635.005197775, 6191169.595647379, 6191107.430954482, 6192202.9401196735, 6192429.788619308, 6192473.478654049, 6192276.87526307, 6192515.488514275, 6192350.811048462, 6192579.343898801, 6192930.557074296, 6193056.5058365585]"
36,BRW_LNODEXF1_3,"[-13652029.544753129, -13651366.754778542, -13651618.999246972, -13652316.972454246, -13653214.207550038, -13653524.788929353, -13653791.955707256, -13653720.711233148, -13653311.055507028, -13652801.212239197, -13652796.759459564, -13653545.939632602, -13653542.600047879, -13653173.019338446, -13652496.196834423, -13652029.544753129]","[6204691.612329228, 6194928.375498846, 6194816.264988705, 6194802.818177364, 6195246.574166882, 6195638.241664784, 6196808.308565102, 6198641.064210172, 6199692.134288805, 6200295.927653896, 6200898.081815572, 6202506.2778023975, 6204791.246386134, 6205334.816038345, 6205286.011151503, 6204691.612329228]"
37,BRW_LNODEXF1_4,"[-13653339.013989871, -13653120.315791845, -13652923.377837298, -13652898.922160557, -13653339.013989871]","[6218063.433157398, 6218084.591280533, 6217876.008921839, 6217515.005575938, 6218063.433157398]"
