,node,p3_level,p4_level,p1_level,p2_level,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses
4958,MACDOEL_LNODE20,3.0,3.0,3.0,3.0,29.42663,24.66871,13:45,14:00,72.20716999999999,54.52721999999999,-30.453359999999996,-18.634610000000002,-2.41718,-1.59389,22.90001,26.51755,14:15,14:30,63.57613,48.48055,-29.77605,-11.4083,-1.59007,-0.9247
4959,MACDOEL_LNODE45,3.0,3.0,3.0,3.0,29.42663,24.66871,13:45,14:00,72.20716999999999,54.52721999999999,-30.453359999999996,-18.634610000000002,-2.41718,-1.59389,22.90001,26.51755,14:15,14:30,63.57613,48.48055,-29.77605,-11.4083,-1.59007,-0.9247
4960,MACHACEK_LNODE60,5.0,3.0,3.0,3.0,57.228269999999995,40.461999999999996,13:45,14:00,72.20716999999999,54.52721999999999,-4.0223,-3.29483,-1.04659,-1.14039,43.57455,35.71401,14:15,14:30,63.57613,48.48055,-10.44738,-3.00833,-0.2442,-0.12821
4961,MACKSINN_LNODE1,3.0,3.0,3.0,3.0,43.83961,32.5716,13:45,14:00,72.20716999999999,54.52721999999999,-16.85655,-11.07751,-1.60101,-1.24811,31.49281,31.02942,14:15,14:30,63.57613,48.48055,-22.17639,-7.63464,-0.59693,-0.18648
4962,MACKSINN_LNODE2,3.0,3.0,3.0,3.0,43.83961,32.5716,13:45,14:00,72.20716999999999,54.52721999999999,-16.85655,-11.07751,-1.60101,-1.24811,31.49281,31.02942,14:15,14:30,63.57613,48.48055,-22.17639,-7.63464,-0.59693,-0.18648
4963,MADERAG_7_B2,,,,,,,,,,,,,,,,,,,,,,,,
4964,MADERA_6_N001,13.0,7.0,11.0,5.0,95.06369000000001,69.72582,13:45,14:00,72.20716999999999,54.52721999999999,17.62151,10.74918,5.23502,4.44942,85.98674,59.09716,14:15,14:30,63.57613,48.48055,17.08294,6.60242,5.32768,4.01419
4965,MADERA_6_N004,13.0,7.0,11.0,5.0,95.06369000000001,69.72582,13:45,14:00,72.20716999999999,54.52721999999999,17.62151,10.74918,5.23502,4.44942,85.98674,59.09716,14:15,14:30,63.57613,48.48055,17.08294,6.60242,5.32768,4.01419
4966,MADERA_6_N014,13.0,7.0,11.0,5.0,95.06369000000001,69.72582,13:45,14:00,72.20716999999999,54.52721999999999,17.62151,10.74918,5.23502,4.44942,85.98674,59.09716,14:15,14:30,63.57613,48.48055,17.08294,6.60242,5.32768,4.01419
4967,MADISON_1_N001,12.0,7.0,10.0,5.0,93.22466999999999,67.41765,13:45,14:00,72.20716999999999,54.52721999999999,21.73958,13.261220000000002,-0.72207,-0.37079,84.476,56.69865,14:15,14:30,63.57613,48.48055,21.09696,8.14538,-0.19709,0.07272
