,node,p3_level,p4_level,p1_level,p2_level,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses
2826,ESCNDIDO_2_B1,3.0,3.0,3.0,3.0,37.451,44.7441,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.13530999999999999,-0.33812,47.73416,46.73572,14:45,15:00,48.06097,47.03675,0,0,-0.32681,-0.30104
2827,ESCNDIDO_2_N021,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2828,ESCNDIDO_6_B1,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2829,ESCNDIDO_6_N001,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2830,ESCNDIDO_6_N046,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2831,ESCNDIDO_6_N053,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2832,ESCNDIDO_6_N070,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2833,ESCNDIDO_6_N071,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2834,ESCNDIDO_6_N072,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2835,ESCNDIDO_6_N073,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
