node_ba,node_type,node_name,latitude,longitude,geometry
PSE,LOAD,LYN_LNODEXF1,48.945113,-122.4464388,POINT (-122.4464387993135 48.94511299997991)
PSE,LOAD,LYN_LNODEXF2,48.945113,-122.4465752,POINT (-122.4465752006866 48.94511299997991)
PACW,LOAD,LYONS_LNODE82,44.77417,-122.6188266,POINT (-122.6188266256688 44.77416999998248)
PACW,LOAD,LYONS_LNODE98,44.77417,-122.6189534,POINT (-122.6189533743312 44.77416999998248)
CA,LOAD,LYOTH-SP_6_N001,37.7218615,-121.3908581,POINT (-121.390858134048 37.7218615049694)
PSE,LOAD,LYO_LNODEXF1,47.42083333,-122.1041667,POINT (-122.1041667 47.42083333)
IPCO,GEN,LYPK_GNODEN31,43.52835436,-116.0586574,POINT (-116.0586574 43.52835435740677)
IPCO,GEN,LYPK_GNODEN32,43.52827312,-116.0585927,POINT (-116.0585927111017 43.52827312127838)
IPCO,GEN,LYPK_GNODEN33,43.52827312,-116.0587221,POINT (-116.0587220888983 43.52827312127838)
CA,LOAD,LYTNVLLE_6_N001,39.68496226,-123.4769791,POINT (-123.476979106492 39.68496225778529)
APS,LOAD,LY_LNODE10A,34.61768444,-112.3067061,POINT (-112.3067061118326 34.61768444063389)
APS,LOAD,LY_LNODE14A,34.61750357,-112.3067061,POINT (-112.306706112072 34.61750357326761)
APS,LOAD,LY_LNODER2A,34.61750357,-112.3069259,POINT (-112.306925887928 34.61750357326761)
APS,LOAD,LY_LNODER6A,34.61768444,-112.3069259,POINT (-112.3069258881674 34.61768444063389)
CA,LOAD,MABURY_1_N001,37.36089648,-121.8639549,POINT (-121.8639549121942 37.36089648225195)
CA,LOAD,MABURY_6_N001,37.36089648,-121.8640686,POINT (-121.8640685680858 37.36089648225195)
PACW,LOAD,MACDOEL_LNODE20,41.83167,-122.0046597,POINT (-122.0046597387857 41.83166999998427)
PACW,LOAD,MACDOEL_LNODE45,41.83167,-122.0047803,POINT (-122.0047802612143 41.83166999998427)
NV,LOAD,MACHACEK_LNODE60,39.544936,-115.973748,POINT (-115.973748 39.544936)
CA,GEN,MADERAG_7_B2,36.863327,-120.337922,POINT (-120.337922 36.86332700000001)
CA,LOAD,MADISON_1_N002,38.67068625,-121.9690802,POINT (-121.9690802234912 38.67068624945333)
